,Product_name,Brand,Discounted_Price,Discount,Original_Price,Ratings,Total_Ratings,Product_URL
511,MAGGI Fusian Spicy Tomato Asian Style Cuppa Noodles wit...,MAGGI,Rs.168,30%,Rs.240,4.1,290,https://www.flipkart.com/maggi-fusian-spicy-tomato-asian-style-cuppa-noodles-chilli-garlic-chinese-sauce-combo/p/itm6a847218c1fcd?pid=FMCFNZHRZZM2ZDGE&lid=LSTFMCFNZHRZZM2ZDGES6R1SP&marketplace=FLIPKART&srno=b_13_511&otracker=browse&fm=organic&iid=35d947c0-b11c-42d4-8ac5-2ee027d88263.FMCFNZHRZZM2ZDGE.SEARCH&ssid=5pvi4mkl1s0000001591295161568
512,Bertolli Mild Taste Olive Oil Plastic Bottle,Bertolli,Rs.799,34%,"Rs.1,225",4.4,431,https://www.flipkart.com/bertolli-mild-taste-olive-oil-plastic-bottle/p/itmfag86qdhjzhyd?pid=EDOEUHJUEBGG9HN3&lid=LSTEDOEUHJUEBGG9HN3ILUTKN&marketplace=FLIPKART&srno=b_13_512&otracker=browse&fm=organic&iid=35d947c0-b11c-42d4-8ac5-2ee027d88263.EDOEUHJUEBGG9HN3.SEARCH&ssid=5pvi4mkl1s0000001591295161568
513,Saffola Fittify Gourmet Slim Meal Shake Whey Protein,Saffola,"Rs.1,038",12%,"Rs.1,190",4.4,122,https://www.flipkart.com/saffola-fittify-gourmet-slim-meal-shake-whey-protein/p/itm6b8ea7157627c?pid=PSLFNF3ZYTSZZFGC&lid=LSTPSLFNF3ZYTSZZFGCZ8MGKK&marketplace=FLIPKART&srno=b_13_513&otracker=browse&fm=organic&iid=35d947c0-b11c-42d4-8ac5-2ee027d88263.PSLFNF3ZYTSZZFGC.SEARCH&ssid=5pvi4mkl1s0000001591295161568
514,Tang Orange Instant Drink Mix,Tang,Rs.182,13%,Rs.210,4.4,"8,852",https://www.flipkart.com/tang-orange-instant-drink-mix/p/itmexzyeypfrjuef?pid=CNCETZN8AU9HMQEX&lid=LSTCNCETZN8AU9HMQEXYAWV8K&marketplace=FLIPKART&srno=b_13_514&otracker=browse&fm=organic&iid=en_cHSbElMwZRH3OMPpz3nZAUl2V%2BQr1zB0T2Ijq51AUEZfAMLqd2mh00OnUuTr25sWq%2FOg7iRAbeXf2BmkyKCBXA%3D%3D&ssid=5pvi4mkl1s0000001591295161568
515,Veg E Wagon Ajwain (Carrom Seeds) 250 gm,Veg,Rs.198,0%,Rs.199,4.1,33,https://www.flipkart.com/veg-e-wagon-ajwain-carrom-seeds-250-gm/p/itmfffd7tefkc58y?pid=SCMFFYGYU2HHK9JW&lid=LSTSCMFFYGYU2HHK9JWWFZ8CI&marketplace=FLIPKART&srno=b_13_515&otracker=browse&fm=organic&iid=35d947c0-b11c-42d4-8ac5-2ee027d88263.SCMFFYGYU2HHK9JW.SEARCH&ssid=5pvi4mkl1s0000001591295161568
516,Carbamide Forte Chelated Iron+Ferrous Bisglycinate with...,Carbamide,Rs.499,41%,Rs.850,4.3,310,https://www.flipkart.com/carbamide-forte-chelated-iron-ferrous-bisglycinate-b12-zn-supplement/p/itmfef5hwhfkvjqh?pid=VSLFDRYSGVR7DURH&lid=LSTVSLFDRYSGVR7DURHRYUNJ4&marketplace=FLIPKART&srno=b_13_516&otracker=browse&fm=organic&iid=35d947c0-b11c-42d4-8ac5-2ee027d88263.VSLFDRYSGVR7DURH.SEARCH&ssid=5pvi4mkl1s0000001591295161568
517,Wonderland Foods Premium Quality Whole Cinnamon (Dalchi...,Wonderland,Rs.199,43%,Rs.350,3.8,25,https://www.flipkart.com/wonderland-foods-premium-quality-whole-cinnamon-dalchini/p/itm886a4234ae6a5?pid=SCMFPNTZCHZ7GTAQ&lid=LSTSCMFPNTZCHZ7GTAQSUCU1S&marketplace=FLIPKART&srno=b_13_517&otracker=browse&fm=organic&iid=35d947c0-b11c-42d4-8ac5-2ee027d88263.SCMFPNTZCHZ7GTAQ.SEARCH&ssid=5pvi4mkl1s0000001591295161568
518,Aptamil Infant Formula (Stage 1),Aptamil,Rs.705,0%,Rs.705,4.6,400,https://www.flipkart.com/aptamil-infant-formula-stage-1/p/itmfcfm77ezcunmp?pid=INFFCFM7YEESGFRX&lid=LSTINFFCFM7YEESGFRXLQKMYU&marketplace=FLIPKART&srno=b_13_518&otracker=browse&fm=organic&iid=35d947c0-b11c-42d4-8ac5-2ee027d88263.INFFCFM7YEESGFRX.SEARCH&ssid=5pvi4mkl1s0000001591295161568
519,Nutty Gritties Mix Berries 200g,Nutty,Rs.355,5%,Rs.375,4.7,35,https://www.flipkart.com/nutty-gritties-mix-berries-200g/p/itm08d895397ae4d?pid=NDFFMVSFCQ3YR5NP&lid=LSTNDFFMVSFCQ3YR5NPHFMBJA&marketplace=FLIPKART&srno=b_13_519&otracker=browse&fm=organic&iid=35d947c0-b11c-42d4-8ac5-2ee027d88263.NDFFMVSFCQ3YR5NP.SEARCH&ssid=5pvi4mkl1s0000001591295161568
520,Saffola Fittify Gourmet Classic Green Tea Box,Saffola,Rs.220,0%,Rs.220,4.2,"1,955",https://www.flipkart.com/saffola-fittify-gourmet-classic-green-tea-box/p/itmfbk5w2wvzbyw9?pid=TEAFBK5WWHMKQPFM&lid=LSTTEAFBK5WWHMKQPFMOSKS51&marketplace=GROCERY&srno=b_13_520&otracker=browse&fm=organic&iid=en_cHSbElMwZRH3OMPpz3nZAUl2V%2BQr1zB0T2Ijq51AUEbJYbF10SIND7iVxof3WsKpmI3ikTTXu2YJMZT8Khjw1Q%3D%3D&ssid=5pvi4mkl1s0000001591295161568
521,Kitchens of India Rajma Masala and Vegetable Pulao 785 ...,Kitchens,Rs.257,4%,Rs.270,4,32,https://www.flipkart.com/kitchens-india-rajma-masala-vegetable-pulao-785-g/p/itm3ca5e00833b1d?pid=RMDFNH72YJFEWRCE&lid=LSTRMDFNH72YJFEWRCEEJNHCN&marketplace=FLIPKART&srno=b_14_521&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.RMDFNH72YJFEWRCE.SEARCH&ssid=98mcgzxrhs0000001591295175022
522,NutroActive Baking Soda Ultra Pure - 350 gm Baking Soda...,NutroActive,Rs.299,14%,Rs.349,4.3,130,https://www.flipkart.com/nutroactive-baking-soda-ultra-pure-350-gm-powder/p/itm43fd7b9bf8560?pid=BKIFP794HMGWP2UA&lid=LSTBKIFP794HMGWP2UALO2O4K&marketplace=FLIPKART&srno=b_14_522&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.BKIFP794HMGWP2UA.SEARCH&ssid=98mcgzxrhs0000001591295175022
523,Salz & Aroma Red Chilli Powder/ Lal Mirch Powder,Salz,Rs.206,29%,Rs.294,4.6,9,https://www.flipkart.com/salz-aroma-red-chilli-powder-lal-mirch-powder/p/itmfh5zzm7xczsvj?pid=SCMFH5C3HNCYYNFK&lid=LSTSCMFH5C3HNCYYNFKVRAIZ4&marketplace=FLIPKART&srno=b_14_523&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.SCMFH5C3HNCYYNFK.SEARCH&ssid=98mcgzxrhs0000001591295175022
524,Cadbury Bournvita Inner Strength Nutrition Drink,Cadbury,Rs.640,9%,Rs.710,4.5,"8,939",https://www.flipkart.com/cadbury-bournvita-inner-strength-nutrition-drink/p/itmfgnmmbuc7kgyg?pid=ESRFD4GZAFCP9YMK&lid=LSTESRFD4GZAFCP9YMKHNECUK&marketplace=FLIPKART&srno=b_14_524&otracker=browse&fm=organic&iid=en_dQtdK7vV1B688JYeiRWRCCQiH0hBfcpzakNAYPnE8np0KEeeYQ4YvWWcZQYV2XQ%2Fzf1jmtr%2BEZ%2Bate%2BxMQ6ZKg%3D%3D&ssid=98mcgzxrhs0000001591295175022
525,Markstor Exotic Seedless Dates,Markstor,Rs.450,30%,Rs.650,4.2,303,https://www.flipkart.com/markstor-exotic-seedless-dates/p/itmeyahpgsgbz2ht?pid=NDFEY9QDVXRKUYYM&lid=LSTNDFEY9QDVXRKUYYMPWQ94T&marketplace=FLIPKART&srno=b_14_525&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.NDFEY9QDVXRKUYYM.SEARCH&ssid=98mcgzxrhs0000001591295175022
526,Similac Isomil Soy Infant Formula,Similac,Rs.480,0%,Rs.480,4.6,171,https://www.flipkart.com/similac-isomil-soy-infant-formula/p/itmf5cm5kcz2agd8?pid=INFF5CM5UGEFPG9F&lid=LSTINFF5CM5UGEFPG9FAODAH6&marketplace=FLIPKART&srno=b_14_526&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.INFF5CM5UGEFPG9F.SEARCH&ssid=98mcgzxrhs0000001591295175022
527,Delight Nuts Cashew Roasted & Salted 200g Cashews,Delight,Rs.387,3%,Rs.399,4.2,448,https://www.flipkart.com/delight-nuts-cashew-roasted-salted-200g-cashews/p/itmf5j7qg9brdyuv?pid=NDFF5J38WYHSC3SG&lid=LSTNDFF5J38WYHSC3SGM7QMYK&marketplace=FLIPKART&srno=b_14_527&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.NDFF5J38WYHSC3SG.SEARCH&ssid=98mcgzxrhs0000001591295175022
528,"SUN'A'DO Mixed Nuts (Almonds, Cashew & Pistachios) Roas...",SUN'A'DO,Rs.387,3%,Rs.399,4.3,"1,180",https://www.flipkart.com/sun-a-do-mixed-nuts-almonds-cashew-pistachios-roasted-salted-200g-assorted/p/itmf8qvpznjn36yz?pid=NDFF8QRWYGDYYQDK&lid=LSTNDFF8QRWYGDYYQDKQ3QB1Y&marketplace=FLIPKART&srno=b_14_528&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.NDFF8QRWYGDYYQDK.SEARCH&ssid=98mcgzxrhs0000001591295175022
529,Tulsi Rozana California Almonds,Tulsi,Rs.249,9%,Rs.275,4.2,"2,438",https://www.flipkart.com/tulsi-rozana-california-almonds/p/itm4c90d0b5ae5f4?pid=NDFFKTE42MBH6NRV&lid=LSTNDFFKTE42MBH6NRV31KGNZ&marketplace=FLIPKART&srno=b_14_529&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.NDFFKTE42MBH6NRV.SEARCH&ssid=98mcgzxrhs0000001591295175022
530,Cadbury Bournvita Health Drink Nutrition Drink,Cadbury,Rs.286,1%,Rs.290,4.5,"11,923",https://www.flipkart.com/cadbury-bournvita-health-drink-nutrition/p/itmfhf8pfdw8gxb5?pid=ESRFCZVQZRUREGEX&lid=LSTESRFCZVQZRUREGEXSBX0LQ&marketplace=FLIPKART&srno=b_14_530&otracker=browse&fm=organic&iid=en_dQtdK7vV1B688JYeiRWRCCQiH0hBfcpzakNAYPnE8nrXmRM6LJAlJ6VGGCpAy5xa8TCj29BtLUyQ%2BVBw19HcDw%3D%3D&ssid=98mcgzxrhs0000001591295175022
531,Yuvika Elaichi Badi - Elettaria cardamomum - Black Card...,Yuvika,Rs.249,31%,Rs.365,4.4,41,https://www.flipkart.com/yuvika-elaichi-badi-elettaria-cardamomum-black-cardamom-big/p/itmf3sh3g7d7vvgh?pid=SCMF3SFC72HMZJEX&lid=LSTSCMF3SFC72HMZJEXAVXQZW&marketplace=FLIPKART&srno=b_14_531&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.SCMF3SFC72HMZJEX.SEARCH&ssid=98mcgzxrhs0000001591295175022
532,Mahakosh Refined Soyabean Oil Pouch,Mahakosh,Rs.116,12%,Rs.133,4.2,337,https://www.flipkart.com/mahakosh-refined-soyabean-oil-pouch/p/itmfcygskks8yuxd?pid=EDOF7NPMFJUMUBNV&lid=LSTEDOF7NPMFJUMUBNV02ITL8&marketplace=FLIPKART&srno=b_14_532&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.EDOF7NPMFJUMUBNV.SEARCH&ssid=98mcgzxrhs0000001591295175022
533,Optimum Nutrition Micronized Creatine,Optimum,"Rs.1,015",20%,"Rs.1,269",4.2,"13,478",https://www.flipkart.com/optimum-nutrition-micronized-creatine/p/itmehjrszwbh9mfn?pid=PSLEHJRSC5RHFZZJ&lid=LSTPSLEHJRSC5RHFZZJEDBR6U&marketplace=FLIPKART&srno=b_14_533&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.PSLEHJRSC5RHFZZJ.SEARCH&ssid=98mcgzxrhs0000001591295175022
534,Betty Crocker Triple Choco Brownie Mix 425 g,Betty,Rs.322,2%,Rs.330,4.4,294,https://www.flipkart.com/betty-crocker-triple-choco-brownie-mix-425-g/p/itmet9fwknytydxj?pid=RYMET9FWZSB3AZZH&lid=LSTRYMET9FWZSB3AZZHIERCDH&marketplace=FLIPKART&srno=b_14_534&otracker=browse&fm=organic&iid=en_dQtdK7vV1B688JYeiRWRCCQiH0hBfcpzakNAYPnE8nrQT644b0BS01yTavyvheh6QXeK%2FOWxigzT1ZW%2B1fZmPg%3D%3D&ssid=98mcgzxrhs0000001591295175022
535,Happilo Premium Dried Supermix Assorted Fruit,Happilo,Rs.657,10%,Rs.730,4.3,112,https://www.flipkart.com/happilo-premium-dried-supermix-assorted-fruit/p/itmf8ykegttaf3c9?pid=NDFF8YKEZCBBXSV5&lid=LSTNDFF8YKEZCBBXSV54UT4QR&marketplace=FLIPKART&srno=b_14_535&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.NDFF8YKEZCBBXSV5.SEARCH&ssid=98mcgzxrhs0000001591295175022
536,Nestle Nangrow Nutritious Milk Drink Creamy Vanilla,Nestle,Rs.540,0%,Rs.540,4.5,740,https://www.flipkart.com/nestle-nangrow-nutritious-milk-drink-creamy-vanilla/p/itmfa2smwsgzvkwd?pid=INFFA2SMHXBQZZAU&lid=LSTINFFA2SMHXBQZZAUUQAS3G&marketplace=FLIPKART&srno=b_14_536&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.INFFA2SMHXBQZZAU.SEARCH&ssid=98mcgzxrhs0000001591295175022
537,AS-IT-IS Nutrition Peanut Butter Creamy (Natural & Unsw...,AS-IT-IS,Rs.369,26%,Rs.499,4.4,"4,679",https://www.flipkart.com/as-it-is-nutrition-peanut-butter-creamy-natural-unsweetened-1-kg/p/itmfesequnjrpnsr?pid=JASFERHUWF6NFUEY&lid=LSTJASFERHUWF6NFUEYPM6I40&marketplace=FLIPKART&srno=b_14_537&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.JASFERHUWF6NFUEY.SEARCH&ssid=98mcgzxrhs0000001591295175022
538,Seven Seas Cod Liver Oil Capsules,Seven,Rs.479,8%,Rs.526,4.3,683,https://www.flipkart.com/seven-seas-cod-liver-oil-capsules/p/itmf4yv6zfgryzhr?pid=VSLF3SUHGB4FBZEH&lid=LSTVSLF3SUHGB4FBZEHMFZL6U&marketplace=FLIPKART&srno=b_14_538&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.VSLF3SUHGB4FBZEH.SEARCH&ssid=98mcgzxrhs0000001591295175022
539,Ensure Diabetes Care Chocolate Nutrition Drink,Ensure,Rs.350,7%,Rs.380,4.4,"1,148",https://www.flipkart.com/ensure-diabetes-care-chocolate-nutrition-drink/p/itmf3mcdgsegkmv7?pid=ESRF3DZ2UFWKERQF&lid=LSTESRF3DZ2UFWKERQFRXTDVO&marketplace=FLIPKART&srno=b_14_539&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.ESRF3DZ2UFWKERQF.SEARCH&ssid=98mcgzxrhs0000001591295175022
540,Tang Mango Instant Drink Mix,Tang,Rs.200,4%,Rs.210,4.4,"5,480",https://www.flipkart.com/tang-mango-instant-drink-mix/p/itm643242cabb2be?pid=CNCFFY9UDZUWZ5SX&lid=LSTCNCFFY9UDZUWZ5SXOCFLLE&marketplace=FLIPKART&srno=b_14_540&otracker=browse&fm=organic&iid=en_dQtdK7vV1B688JYeiRWRCCQiH0hBfcpzakNAYPnE8nr9WTzwQxiGTnR%2FZoKKiLDPrhebN74Lt2ateaW02mI3HA%3D%3D&ssid=98mcgzxrhs0000001591295175022
541,NattyNuts Premium Cashew 200 mg. Cashews,NattyNuts,Rs.310,11%,Rs.350,4.6,339,https://www.flipkart.com/nattynuts-premium-cashew-200-mg-cashews/p/itmc1fc1431d76df?pid=NDFFMAPZ7NMK2HUN&lid=LSTNDFFMAPZ7NMK2HUNC3AYO6&marketplace=FLIPKART&srno=b_14_541&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.NDFFMAPZ7NMK2HUN.SEARCH&ssid=98mcgzxrhs0000001591295175022
542,PediaSure Kesar Badam Nutrition Drink,PediaSure,Rs.285,8%,Rs.310,4.4,"1,326",https://www.flipkart.com/pediasure-kesar-badam-nutrition-drink/p/itmf3mcdqzy3ttkf?pid=ESRF3DZ2EEMTE8GF&lid=LSTESRF3DZ2EEMTE8GFBFFFKP&marketplace=FLIPKART&srno=b_14_542&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.ESRF3DZ2EEMTE8GF.SEARCH&ssid=98mcgzxrhs0000001591295175022
543,GNC Pro Performance Weight Gainer Weight Gainers/Mass G...,GNC,"Rs.2,036",32%,"Rs.2,999",4.3,43,https://www.flipkart.com/gnc-pro-performance-weight-gainer-gainers-mass-gainers/p/itmf99e856aa45e5?pid=PSLFZ5YAUKPHMUMD&lid=LSTPSLFZ5YAUKPHMUMDGM4JKC&marketplace=FLIPKART&srno=b_14_543&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.PSLFZ5YAUKPHMUMD.SEARCH&ssid=98mcgzxrhs0000001591295175022
544,Saffola Aura Extra Virgin Olive and Flaxseed EV Blended...,Saffola,Rs.250,58%,Rs.600,4.4,35,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-ev-blended-oil-plastic-bottle/p/itmfbtxjb2xvfgph?pid=EDOF7TMYJNAZGMJZ&lid=LSTEDOF7TMYJNAZGMJZVW0WSP&marketplace=FLIPKART&srno=b_14_544&otracker=browse&fm=organic&iid=en_dQtdK7vV1B688JYeiRWRCCQiH0hBfcpzakNAYPnE8nrUHFhMtNbxd%2Bbo44yKG34gnAxwA8DrSPvhRt%2BDJhFA6Q%3D%3D&ssid=98mcgzxrhs0000001591295175022
545,Himalaya Quista Pro Advanced 2 Kg Whey Protein,Himalaya,"Rs.3,492",22%,"Rs.4,500",4.4,617,https://www.flipkart.com/himalaya-quista-pro-advanced-2-kg-whey-protein/p/itmfb4f5nf9u5zfn?pid=PSLFB3J9YS7PQHFM&lid=LSTPSLFB3J9YS7PQHFMRZOEKV&marketplace=FLIPKART&srno=b_14_545&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.PSLFB3J9YS7PQHFM.SEARCH&ssid=98mcgzxrhs0000001591295175022
546,"Simply Nutra Calcium, Magnesium, Zinc, D3 & B12 Tablets...",Simply,Rs.699,36%,"Rs.1,099",4.5,11,https://www.flipkart.com/simply-nutra-calcium-magnesium-zinc-d3-b12-tablets-120/p/itmfdu4zmx8uzjbb?pid=VSLFM5FSVVHEAVBF&lid=LSTVSLFM5FSVVHEAVBF2JFISE&marketplace=FLIPKART&srno=b_14_546&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.VSLFM5FSVVHEAVBF.SEARCH&ssid=98mcgzxrhs0000001591295175022
547,Wonderland Foods Premium Quality Bay Leaves (Tej Patta),Wonderland,Rs.199,0%,Rs.199,4.5,11,https://www.flipkart.com/wonderland-foods-premium-quality-bay-leaves-tej-patta/p/itm47501382d75da?pid=SCMFPMKH3QWGQWDJ&lid=LSTSCMFPMKH3QWGQWDJX7PDOP&marketplace=FLIPKART&srno=b_14_547&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.SCMFPMKH3QWGQWDJ.SEARCH&ssid=98mcgzxrhs0000001591295175022
548,Yuvika Musli Simbal - Bombax Malabaricum DC - Silk Cott...,Yuvika,Rs.179,48%,Rs.349,NA,NA,https://www.flipkart.com/yuvika-musli-simbal-bombax-malabaricum-dc-silk-cotton-root-100-gm/p/itm4e577cc8ae6f2?pid=SCMFJK68TSZHVNPU&lid=LSTSCMFJK68TSZHVNPU1I3398&marketplace=FLIPKART&srno=b_14_548&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.SCMFJK68TSZHVNPU.SEARCH&ssid=98mcgzxrhs0000001591295175022
549,Rostaa Dried Prunes Prunes,Rostaa,Rs.240,7%,Rs.260,4,323,https://www.flipkart.com/rostaa-dried-prunes/p/itmfdb3qxh88pgzz?pid=NDFEX9CMHXSHMXTZ&lid=LSTNDFEX9CMHXSHMXTZ7VNYU5&marketplace=FLIPKART&srno=b_14_549&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.NDFEX9CMHXSHMXTZ.SEARCH&ssid=98mcgzxrhs0000001591295175022
550,Saffola Aura Extra Virgin Olive and Flaxseed Blended Oi...,Saffola,Rs.150,54%,Rs.330,4.3,40,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-blended-oil-plastic-bottle/p/itmezwfwdharczxx?pid=EDOEZWFWDTPEBFG2&lid=LSTEDOEZWFWDTPEBFG2UTHNWQ&marketplace=FLIPKART&srno=b_14_550&otracker=browse&fm=organic&iid=en_dQtdK7vV1B688JYeiRWRCCQiH0hBfcpzakNAYPnE8nrGisM14R3v4Hi0xaKRVKkSlh3w9zHin4j9x57h5D2NgA%3D%3D&ssid=98mcgzxrhs0000001591295175022
551,Zerobeli Fiber Rich Choclaq 700 g (Pack of 2),Zerobeli,Rs.285,5%,Rs.300,4.5,39,https://www.flipkart.com/zerobeli-fiber-rich-choclaq-700-g-pack-2/p/itmf4fade25170e6?pid=CAFFQ5FNQHVZWRGC&lid=LSTCAFFQ5FNQHVZWRGCY87HZD&marketplace=FLIPKART&srno=b_14_551&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.CAFFQ5FNQHVZWRGC.SEARCH&ssid=98mcgzxrhs0000001591295175022
552,VEDICINE Premium Quality Cinnmon Powder-Dalchini Powder,VEDICINE,Rs.189,5%,Rs.199,4.4,5,https://www.flipkart.com/vedicine-premium-quality-cinnmon-powder-dalchini-powder/p/itm22ec46921c134?pid=SCMFRZ9HYNXPD4ZJ&lid=LSTSCMFRZ9HYNXPD4ZJJWRWAB&marketplace=FLIPKART&srno=b_14_552&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.SCMFRZ9HYNXPD4ZJ.SEARCH&ssid=98mcgzxrhs0000001591295175022
553,Farm Naturelle 100 % Pure Organic Virgin Cold Pressed C...,Farm,Rs.797,16%,Rs.949,NA,NA,https://www.flipkart.com/farm-naturelle-100-pure-organic-virgin-cold-pressed-coconut-cooking-oil-750-ml-glass-bottles-glass-bottle/p/itmea8f500bd0b44?pid=EDOFPDP4VHGYBHGF&lid=LSTEDOFPDP4VHGYBHGFLDLSLB&marketplace=FLIPKART&srno=b_14_553&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.EDOFPDP4VHGYBHGF.SEARCH&ssid=98mcgzxrhs0000001591295175022
554,Tang Orange Instant Drink Mix,Tang,Rs.182,13%,Rs.210,4.4,"8,852",https://www.flipkart.com/tang-orange-instant-drink-mix/p/itmexzyeypfrjuef?pid=CNCETZN8AU9HMQEX&lid=LSTCNCETZN8AU9HMQEXYAWV8K&marketplace=FLIPKART&srno=b_14_554&otracker=browse&fm=organic&iid=en_dQtdK7vV1B688JYeiRWRCCQiH0hBfcpzakNAYPnE8nobEmaUNgP9odVL%2F5Q2FTHYq%2FOg7iRAbeXf2BmkyKCBXA%3D%3D&ssid=98mcgzxrhs0000001591295175022
555,"Old ELPaso Taco Seasoning Mix, Original - 28g (1oz)",Old,Rs.325,45%,Rs.599,NA,NA,https://www.flipkart.com/old-elpaso-taco-seasoning-mix-original-28g-1oz/p/itmf7gncn2qqztav?pid=SCMF7GGFNN5QZSGU&lid=LSTSCMF7GGFNN5QZSGUP59SY8&marketplace=FLIPKART&srno=b_14_555&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.SCMF7GGFNN5QZSGU.SEARCH&ssid=98mcgzxrhs0000001591295175022
556,"YUVIKA Combo Pack of Chia Seeds, Flax Seeds, Pumpkin Se...",YUVIKA,Rs.349,41%,Rs.599,4,3,https://www.flipkart.com/yuvika-combo-pack-chia-seeds-flax-pumpkin-seed-sunflower-raw-seeds-100-grams-each/p/itm449306b05eedd?pid=EDSFRJ8N8RFSZMCF&lid=LSTEDSFRJ8N8RFSZMCFTDVKPP&marketplace=FLIPKART&srno=b_14_556&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.EDSFRJ8N8RFSZMCF.SEARCH&ssid=98mcgzxrhs0000001591295175022
557,Bliss of Earth 453GM USDA Organic Fenugreek Powder For ...,Bliss,Rs.320,17%,Rs.390,NA,NA,https://www.flipkart.com/bliss-earth-453gm-usda-organic-fenugreek-powder-cooking-methi/p/itmebba361fda853?pid=SCMFRSGW5HVPX45Q&lid=LSTSCMFRSGW5HVPX45QABJYOW&marketplace=FLIPKART&srno=b_14_557&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.SCMFRSGW5HVPX45Q.SEARCH&ssid=98mcgzxrhs0000001591295175022
558,Protinex Original Nutrition Drink,Protinex,Rs.914,7%,Rs.990,4.4,905,https://www.flipkart.com/protinex-original-nutrition-drink/p/itmf8a4vbxnza9h2?pid=ESRF7XPZN4SNEGPF&lid=LSTESRF7XPZN4SNEGPFUK2NMS&marketplace=FLIPKART&srno=b_14_558&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.ESRF7XPZN4SNEGPF.SEARCH&ssid=98mcgzxrhs0000001591295175022
559,"VegeBaby Cold Pressed, 100% Organic Flaxseed Oil Plasti...",VegeBaby,Rs.275,0%,Rs.275,NA,NA,https://www.flipkart.com/vegebaby-cold-pressed-100-organic-flaxseed-oil-plastic-bottle/p/itm27533a58df2a0?pid=EDOFP6YGMZZKP5EH&lid=LSTEDOFP6YGMZZKP5EH2MCQ8H&marketplace=FLIPKART&srno=b_14_559&otracker=browse&fm=organic&iid=3ebb25dd-e32d-4e77-a53f-d56fccc6c678.EDOFP6YGMZZKP5EH.SEARCH&ssid=98mcgzxrhs0000001591295175022
560,Saffola Fittify Gourmet Slim Meal Shake Whey Protein,Saffola,"Rs.1,038",12%,"Rs.1,190",4.3,86,https://www.flipkart.com/saffola-fittify-gourmet-slim-meal-shake-whey-protein/p/itm6575bd00426f8?pid=PSLFNF3ZF2KHSHG8&lid=LSTPSLFNF3ZF2KHSHG8A38DKM&marketplace=FLIPKART&srno=b_14_560&otracker=browse&fm=organic&iid=en_dQtdK7vV1B688JYeiRWRCCQiH0hBfcpzakNAYPnE8nqJRqT%2BjZMjlRZVaeCKNjnMfeuylkGxcrobYuO%2FWvA8KQ%3D%3D&ssid=98mcgzxrhs0000001591295175022
