,Product_name,Brand,Discounted_Price,Discount,Original_Price,Ratings,Total_Ratings,Product_URL
23,"Lipton Honey, Lemon Green Tea Bags Box",Lipton,Rs.466,3%,Rs.482,4.4,"49,437",https://www.flipkart.com/lipton-honey-lemon-green-tea-bags-box/p/itmewjx9atpdgjm4?pid=TEAETC92QZFTY8RR&lid=LSTTEAETC92QZFTY8RR9WEBPK&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.TEAETC92QZFTY8RR.SEARCH&ssid=qyd2kliceo0000001591294950608
24,Saffola Aura Extra Virgin Olive and Flaxseed Blended Oi...,Saffola,Rs.150,54%,Rs.330,4.3,40,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-blended-oil-plastic-bottle/p/itmezwfwdharczxx?pid=EDOEZWFWDTPEBFG2&lid=LSTEDOEZWFWDTPEBFG2UTHNWQ&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5M9uC4qimscMfspdQwSP37Ilh3w9zHin4j9x57h5D2NgA%3D%3D&ssid=qyd2kliceo0000001591294950608
25,India Gate Regular Choice Basmati Rice (Medium Grain),India,Rs.357,19%,Rs.445,3.9,"2,073",https://www.flipkart.com/india-gate-regular-choice-basmati-rice-medium-grain/p/itmeuhhmvrnqhfvu?pid=RICEUHHMHUQXGKXZ&lid=LSTRICEUHHMHUQXGKXZCDLDIS&marketplace=FLIPKART&srno=b_1_25&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.RICEUHHMHUQXGKXZ.SEARCH&ssid=qyd2kliceo0000001591294950608
26,MTR Gulab Jamun Mix 160 g,MTR,Rs.119,0%,Rs.120,4.6,"1,328",https://www.flipkart.com/mtr-gulab-jamun-mix-160-g/p/itmfcmm6u3nz3szs?pid=RYMF5XVZESGTYFNZ&lid=LSTRYMF5XVZESGTYFNZW8DGAP&marketplace=FLIPKART&srno=b_1_26&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.RYMF5XVZESGTYFNZ.SEARCH&ssid=qyd2kliceo0000001591294950608
27,Fortune Rice Bran Oil Pouch,Fortune,Rs.129,0%,Rs.130,4.5,944,https://www.flipkart.com/fortune-rice-bran-oil-pouch/p/itmevmncdazfbqzn?pid=EDOEUHJZKS56TYBX&lid=LSTEDOEUHJZKS56TYBXRUVKUV&marketplace=FLIPKART&srno=b_1_27&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.EDOEUHJZKS56TYBX.SEARCH&ssid=qyd2kliceo0000001591294950608
28,Flipkart Supermart Select Sugar,Flipkart,Rs.59,34%,Rs.90,4.5,787,https://www.flipkart.com/flipkart-supermart-select-sugar/p/itmfy2jxm4h87ptd?pid=SUGFY2JXWAQDJW46&lid=LSTSUGFY2JXWAQDJW46JBKPPT&marketplace=FLIPKART&srno=b_1_28&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.SUGFY2JXWAQDJW46.SEARCH&ssid=qyd2kliceo0000001591294950608
29,Dabur Honey Squeezy,Dabur Honey,Rs.250,10%,Rs.280,4.4,"18,831",https://www.flipkart.com/dabur-honey-squeezy/p/itmeu6mgvfaedn4q?pid=HNYEU6MGSMBZ45Z8&lid=LSTHNYEU6MGSMBZ45Z83XHN8S&marketplace=FLIPKART&srno=b_1_29&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.HNYEU6MGSMBZ45Z8.SEARCH&ssid=qyd2kliceo0000001591294950608
30,Saffola Fittify Gourmet Slim Meal Shake Whey Protein,Saffola,"Rs.1,038",12%,"Rs.1,190",4.3,86,https://www.flipkart.com/saffola-fittify-gourmet-slim-meal-shake-whey-protein/p/itm6575bd00426f8?pid=PSLFNF3ZF2KHSHG8&lid=LSTPSLFNF3ZF2KHSHG8A38DKM&marketplace=FLIPKART&srno=b_1_30&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5PFjSFfCu277zkavRI1eR%2B1feuylkGxcrobYuO%2FWvA8KQ%3D%3D&ssid=qyd2kliceo0000001591294950608
31,"Red Label Natural Care Cardamom, Ginger, Liquorice, Tul...",Red,Rs.240,0%,Rs.240,4.4,"2,543",https://www.flipkart.com/red-label-natural-care-cardamom-ginger-liquorice-tulsi-tea-box/p/itmf9rgsp9bcdugr?pid=TEAETY5NKPGFGFZK&lid=LSTTEAETY5NKPGFGFZKEGFMJJ&marketplace=FLIPKART&srno=b_1_31&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.TEAETY5NKPGFGFZK.SEARCH&ssid=qyd2kliceo0000001591294950608
32,Happilo Premium Seedless Green Raisins,Happilo,Rs.149,9%,Rs.165,4.4,"12,993",https://www.flipkart.com/happilo-premium-seedless-green-raisins/p/itmf4n9pzkhskxfv?pid=NDFF4N9PWAAAAGPA&lid=LSTNDFF4N9PWAAAAGPAVHQVDW&marketplace=FLIPKART&srno=b_1_32&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.NDFF4N9PWAAAAGPA.SEARCH&ssid=qyd2kliceo0000001591294950608
33,Real Fruit Juice - Litchi,Real,Rs.95,8%,Rs.104,4.2,"3,066",https://www.flipkart.com/real-fruit-juice-litchi/p/itmfg4ffxtdrxmhd?pid=DAJEUARYHJQDWHTB&lid=LSTDAJEUARYHJQDWHTB2CCC3Z&marketplace=FLIPKART&srno=b_1_33&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.DAJEUARYHJQDWHTB.SEARCH&ssid=qyd2kliceo0000001591294950608
34,Saffola Fittify Gourmet Lemon Mint Instant Coffee,Saffola,Rs.221,15%,Rs.260,4.3,"3,898",https://www.flipkart.com/saffola-fittify-gourmet-lemon-mint-instant-coffee/p/itmfbgz62szbxahm?pid=CFEFBGZ63MDFCZQG&lid=LSTCFEFBGZ63MDFCZQGNZTKEA&marketplace=FLIPKART&srno=b_1_34&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5MrrnR%2BU%2F3KgCxUNi8nzgLBGjSI%2BJbm5ivOYITbktvCOg%3D%3D&ssid=qyd2kliceo0000001591294950608
35,Tang Orange Instant Drink Mix,Tang,Rs.182,13%,Rs.210,4.4,"8,851",https://www.flipkart.com/tang-orange-instant-drink-mix/p/itmexzyeypfrjuef?pid=CNCETZN8AU9HMQEX&lid=LSTCNCETZN8AU9HMQEXYAWV8K&marketplace=FLIPKART&srno=b_1_35&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.CNCETZN8AU9HMQEX.SEARCH&ssid=qyd2kliceo0000001591294950608
36,Tata Gold Tea Pouch,Tata,Rs.320,20%,Rs.400,4.5,"13,906",https://www.flipkart.com/tata-gold-tea-pouch/p/itmff7nez84gfjac?pid=TEAFGPRQHGKWH9JN&lid=LSTTEAFGPRQHGKWH9JNRUSDVH&marketplace=FLIPKART&srno=b_1_36&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.TEAFGPRQHGKWH9JN.SEARCH&ssid=qyd2kliceo0000001591294950608
