Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL,Platform
"Amazon Brand - Vedaka Sona Masoori Rice, Steamed, 5kg",295.0,16.0,350.0,4.0,403,https://www.amazon.in/Amazon-Brand-Vedaka-Masoori-Steamed/dp/B07KXH75VX/ref=sr_1_60?dchild=1&qid=1591099869&s=pantry&sr=1-60,Amazon
"24 Mantra Organic Sonamasuri Brown Rice, 1kg",86.0,9.0,95.0,4.0,426,https://www.amazon.in/24-Mantra-Organic-Sonamasuri-Brown/dp/B01CHVDTLG/ref=sr_1_61?dchild=1&qid=1591099869&s=pantry&sr=1-61,Amazon
"Amazon Brand - Vedaka Sabudana (Sago), Medium, 500g",56.0,14.0,65.0,4.4,473,https://www.amazon.in/Amazon-Brand-Vedaka-Sabudana-Medium/dp/B07M92GV1V/ref=sr_1_62?dchild=1&qid=1591099869&s=pantry&sr=1-62,Amazon
ASOP Chana Dal Economy 1Kg,77.0,14.0,90.0,4.2,48,https://www.amazon.in/ASOP-Chana-Dal-Economy-1Kg/dp/B0851T2C6R/ref=sr_1_63?dchild=1&qid=1591099869&s=pantry&sr=1-63,Amazon
"Fortune Special Biryani Basmati Rice, 1kg",111.0,37.0,175.0,4.2,364,https://www.amazon.in/Fortune-Special-Biryani-Basmati-Rice/dp/B01CHUQLTE/ref=sr_1_67?dchild=1&qid=1591099869&s=pantry&sr=1-67,Amazon
"India Gate Basmati Rice Regular Choice, 5kg",319.0,28.0,445.0,3.7,368,https://www.amazon.in/India-Gate-Basmati-Regular-Choice/dp/B075L4GRGR/ref=sr_1_70?dchild=1&qid=1591099869&s=pantry&sr=1-70,Amazon
"Aashirvaad Superior MP Atta, 5kg",244.0,10.0,270.0,4.1,389,https://www.amazon.in/Aashirvaad-Superior-MP-Atta-5kg/dp/B06ZZ3BT6W/ref=sr_1_71?dchild=1&qid=1591099869&s=pantry&sr=1-71,Amazon
"24 Mantra Organic Toor Dal/Tur Dal/Arhar Dal, 1Kg",175.0,10.0,195.0,4.3,359,https://www.amazon.in/24-Mantra-Organic-Toor-Dal/dp/B01CHUY1KU/ref=sr_1_72?dchild=1&qid=1591099869&s=pantry&sr=1-72,Amazon
"India Gate Basmati Rice Bag, Mogra, 5kg (Broken rice)",299.0,21.0,380.0,3.4,484,https://www.amazon.in/India-Gate-Basmati-Mogra-Broken/dp/B01JYTZ908/ref=sr_1_73?dchild=1&qid=1591099869&s=pantry&sr=1-73,Amazon
"Amazon Brand - Vedaka Popular Black Urad Split / Chilka, 500g",75.0,6.0,80.0,4.3,632,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Chilka/dp/B079NSRBR9/ref=sr_1_74?dchild=1&qid=1591099869&s=pantry&sr=1-74,Amazon
Kohinoor Charminar Rozana Basmati Rice 5 kg,337.0,28.0,470.0,3.8,394,https://www.amazon.in/Charminar-Rozana-Basmati-Rice-KG/dp/B01MR82XEF/ref=sr_1_75?dchild=1&qid=1591099869&s=pantry&sr=1-75,Amazon
