Product_Name,Brand,Discounted_Price,Discount,Original_Price,Product_Rating,No_of_ratings,Product_URL,Platform
Saffola Fittify Gourmet Slim Meal Shake Whey Protein,Saffola,1038.0,12.0,1190.0,4.3,86,https://www.flipkart.com/saffola-fittify-gourmet-slim-meal-shake-whey-protein/p/itm6575bd00426f8?pid=PSLFNF3ZF2KHSHG8&lid=LSTPSLFNF3ZF2KHSHG8A38DKM&marketplace=FLIPKART&srno=b_1_30&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5PFjSFfCu277zkavRI1eR%2B1feuylkGxcrobYuO%2FWvA8KQ%3D%3D&ssid=qyd2kliceo0000001591294950608,Flipkart
Happilo Premium Seedless Green Raisins,Happilo,149.0,9.0,165.0,4.4,12993,https://www.flipkart.com/happilo-premium-seedless-green-raisins/p/itmf4n9pzkhskxfv?pid=NDFF4N9PWAAAAGPA&lid=LSTNDFF4N9PWAAAAGPAVHQVDW&marketplace=FLIPKART&srno=b_1_32&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.NDFF4N9PWAAAAGPA.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Real Fruit Juice - Litchi,Real,95.0,8.0,104.0,4.2,3066,https://www.flipkart.com/real-fruit-juice-litchi/p/itmfg4ffxtdrxmhd?pid=DAJEUARYHJQDWHTB&lid=LSTDAJEUARYHJQDWHTB2CCC3Z&marketplace=FLIPKART&srno=b_1_33&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.DAJEUARYHJQDWHTB.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Saffola Fittify Gourmet Lemon Mint Instant Coffee,Saffola,221.0,15.0,260.0,4.3,3898,https://www.flipkart.com/saffola-fittify-gourmet-lemon-mint-instant-coffee/p/itmfbgz62szbxahm?pid=CFEFBGZ63MDFCZQG&lid=LSTCFEFBGZ63MDFCZQGNZTKEA&marketplace=FLIPKART&srno=b_1_34&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5MrrnR%2BU%2F3KgCxUNi8nzgLBGjSI%2BJbm5ivOYITbktvCOg%3D%3D&ssid=qyd2kliceo0000001591294950608,Flipkart
Tang Orange Instant Drink Mix,Tang,182.0,13.0,210.0,4.4,8851,https://www.flipkart.com/tang-orange-instant-drink-mix/p/itmexzyeypfrjuef?pid=CNCETZN8AU9HMQEX&lid=LSTCNCETZN8AU9HMQEXYAWV8K&marketplace=FLIPKART&srno=b_1_35&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.CNCETZN8AU9HMQEX.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Tata Gold Tea Pouch,Tata,320.0,20.0,400.0,4.5,13906,https://www.flipkart.com/tata-gold-tea-pouch/p/itmff7nez84gfjac?pid=TEAFGPRQHGKWH9JN&lid=LSTTEAFGPRQHGKWH9JNRUSDVH&marketplace=FLIPKART&srno=b_1_36&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.TEAFGPRQHGKWH9JN.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Happilo 100% Natural California Almonds,Happilo,248.0,9.0,275.0,4.4,32993,https://www.flipkart.com/happilo-100-natural-california-almonds/p/itmf4n9ptgqvkmfa?pid=NDFF4N9PUD7PYPZ7&lid=LSTNDFF4N9PUD7PYPZ79PPDKX&marketplace=FLIPKART&srno=b_1_37&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.NDFF4N9PUD7PYPZ7.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Lion Arabian Dates,Lion Arabian,202.0,9.0,224.0,3.9,1110,https://www.flipkart.com/lion-arabian-dates/p/itmewgmchyhehbxw?pid=NDFEUD37FF8HWXHG&lid=LSTNDFEUD37FF8HWXHGUWI2SW&marketplace=FLIPKART&srno=b_1_38&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.NDFEUD37FF8HWXHG.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Cadbury Bournvita Inner Strength Nutrition Drink,Cadbury,640.0,9.0,710.0,4.5,8939,https://www.flipkart.com/cadbury-bournvita-inner-strength-nutrition-drink/p/itmfgnmmbuc7kgyg?pid=ESRFD4GZAFCP9YMK&lid=LSTESRFD4GZAFCP9YMKHNECUK&marketplace=FLIPKART&srno=b_1_39&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.ESRFD4GZAFCP9YMK.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Kellogg's Corn Flakes Original,Kellogg's,175.0,2.0,180.0,4.5,5174,https://www.flipkart.com/kellogg-s-corn-flakes-original/p/itmf7e2z7wun7zxe?pid=CAFETEGHHY35F8YU&lid=LSTCAFETEGHHY35F8YUCIM32D&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.CAFETEGHHY35F8YU.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
