,Product_name,Discount,Discounted_Price,Original_Price,Product_Url,Product_Rating,No_of_ratings,Platform
13,Date Crown Fard Dates 500 g, 17%  , 186.00, 225.00,https://www.jiomart.com/date-crown-fard-dates-500-g-490479104,0, 0,Jiomart
14,Gulab Filtered Groundnut Oil 5 L (Jar), 11%  , 899.00," 1,007.00",https://www.jiomart.com/gulab-filtered-groundnut-oil-5-l-jar-490022513,0, 0,Jiomart
15,Good Life Tibar Basmati Rice 1Kg, 30%  , 69.00, 99.00,https://www.jiomart.com/good-life-tibar-basmati-rice-1kg-491539467,0, 0,Jiomart
16,Good Life Sugar M 1 Kg, 13%  , 45.00, 52.00,https://www.jiomart.com/good-life-sugar-m-1-kg-491551493,0, 0,Jiomart
17,Good Life Sugar M 5 kg, 20%  , 209.00, 260.00,https://www.jiomart.com/good-life-sugar-m-5-kg-491551495,0, 0,Jiomart
18,Good Life Raw Peanuts 500 g, 17%  , 83.00, 100.00,https://www.jiomart.com/good-life-raw-peanuts-500-g-491278616,0, 0,Jiomart
19,Pick N Cook Maha Toor Dal 1 kg, 17%  , 120.00, 144.00,https://www.jiomart.com/pick-n-cook-maha-toor-dal-1-kg-490555247,0, 0,Jiomart
20,Good Life Surti Kolam Rice 1 kg, 17%  , 62.00, 75.00,https://www.jiomart.com/good-life-surti-kolam-rice-1-kg-491278621,0, 0,Jiomart
21,Trust Classic Sulphurless Sugar 1 kg, 29%  , 46.00, 65.00,https://www.jiomart.com/trust-classic-sulphurless-sugar-1-kg-490768919,0, 0,Jiomart
22,Laxmi Poha 1 kg, 18%  , 53.00, 65.00,https://www.jiomart.com/laxmi-poha-1-kg-491253022,0, 0,Jiomart
23,Plain Toor Dal 2 kg, 32%  , 190.00, 280.00,https://www.jiomart.com/plain-toor-dal-2-kg-491417390,0, 0,Jiomart
24,Healthy Heart Refined Rice Bran Oil 1 L, 11%  , 102.00, 115.00,https://www.jiomart.com/healthy-heart-refined-rice-bran-oil-1-l-490517425,0, 0,Jiomart
25,Aashirvaad Whole Wheat Atta 5 Kg, 14%  , 210.00, 245.00,https://www.jiomart.com/aashirvaad-whole-wheat-atta-5-kg-490000038,0, 0,Jiomart
26,India Gate Classic Basmati Rice 1 Kg, 12%  , 189.00, 216.00,https://www.jiomart.com/india-gate-classic-basmati-rice-1-kg-490008230,0, 0,Jiomart
27,Good Life Jeera 100 g, 50%  , 30.00, 60.00,https://www.jiomart.com/good-life-jeera-100-g-491185109,0, 0,Jiomart
28,Aashirvaad Whole Wheat Atta 1 kg, 7%  , 48.36, 52.00,https://www.jiomart.com/aashirvaad-whole-wheat-atta-1-kg-490000032,0, 0,Jiomart
29,Good Life MP Wheat Chakki Atta 1 kg, 22%  , 39.00, 50.00,https://www.jiomart.com/good-life-mp-wheat-chakki-atta-1-kg-491458271,0, 0,Jiomart
30,Good Life Green Cardamom 25 g, 7%  , 147.87, 159.00,https://www.jiomart.com/good-life-green-cardamom-25-g-491185105,0, 0,Jiomart
31,Loose Sugar M 1 Kg, 9%  , 39.00, 43.00,https://www.jiomart.com/loose-sugar-m-1-kg-490176160,0, 0,Jiomart
32,Pick N Cook Masoor Dal 500 g, 10%  , 63.00, 70.00,https://www.jiomart.com/pick-n-cook-masoor-dal-500-g-490398115,0, 0,Jiomart
33,Sunny Sunlite Refined Sunflower Oil 1 L (Pouch), 14%  , 99.00, 115.00,https://www.jiomart.com/sunny-sunlite-refined-sunflower-oil-1-l-pouch-491091676,0, 0,Jiomart
34,Aashirvaad Whole Wheat Atta 10 Kg, 14%  , 385.00, 450.00,https://www.jiomart.com/aashirvaad-whole-wheat-atta-10-kg-490000041,0, 0,Jiomart
35,Saffola Gold Edible Vegetable Blended Oil 5 L (Jar), 7%  , 765.00, 825.00,https://www.jiomart.com/saffola-gold-edible-vegetable-blended-oil-5-l-jar-490005648,0, 0,Jiomart
36,Loose HMT Kolam Rice 1 Kg, 9%  , 43.00, 47.00,https://www.jiomart.com/loose-hmt-kolam-rice-1-kg-490201489,0, 0,Jiomart
37,Loose Pulav Rice Standard 1 Kg,0, 54.00, 54.00,https://www.jiomart.com/loose-pulav-rice-standard-1-kg-490201503,0, 0,Jiomart
38,Shree Jeera 100 g, 7%  , 43.71, 47.00,https://www.jiomart.com/shree-jeera-100-g-490011037,0, 0,Jiomart
39,Good Life MP Wheat Chakki Atta 10 kg, 19%  , 325.00, 400.00,https://www.jiomart.com/good-life-mp-wheat-chakki-atta-10-kg-491458273,0, 0,Jiomart
40,Tez Kachi Ghani Mustard Oil 1 L (Bottle), 7%  , 139.50, 150.00,https://www.jiomart.com/tez-kachi-ghani-mustard-oil-1-l-bottle-490006686,0, 0,Jiomart
41,Priya Refined Sunflower Oil 1 L (Pouch), 18%  , 94.00, 115.00,https://www.jiomart.com/priya-refined-sunflower-oil-1-l-pouch-491278308,0, 0,Jiomart
42,Good Life Refined Sunflower Oil 1 L (Pouch), 12%  , 101.00, 115.00,https://www.jiomart.com/good-life-refined-sunflower-oil-1-l-pouch-491074036,0, 0,Jiomart
