Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL
"Amazon Brand - Vedaka Premium Moong Dal (Yellow), 1 kg",150,0%,,4.2,1082,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Yellow/dp/B079NQZBNZ/ref=sr_1_55?dchild=1&qid=1591099869&s=pantry&sr=1-55
"Fortune Special Biryani Basmati Rice, 5kg",561,32%,₹825,4.3,534,https://www.amazon.in/Fortune-Special-Biryani-Basmati-Rice/dp/B01H5L60R8/ref=sr_1_56?dchild=1&qid=1591099869&s=pantry&sr=1-56
"Amazon Brand - Vedaka Sona Masoori Raw Rice, 5Kg, White",330,8%,₹360,3.6,732,https://www.amazon.in/Amazon-Brand-Vedaka-Masoori-White/dp/B0748NKCK1/ref=sr_1_57?dchild=1&qid=1591099869&s=pantry&sr=1-57
"Kohinoor Charminar Select Basmati Rice, 5kg",399,26%,₹540,4.1,315,https://www.amazon.in/Kohinoor-Charminar-Basmati-Rice-5kg/dp/B01GCEWQEK/ref=sr_1_58?dchild=1&qid=1591099869&s=pantry&sr=1-58
"Tata Sampann Urad Whole, 1kg",,0%,,4.4,198,https://www.amazon.in/Tata-Sampann-Urad-Whole-1kg/dp/B074N9HX6Y/ref=sr_1_59?dchild=1&qid=1591099869&s=grocery&sr=1-59
"Amazon Brand - Vedaka Sona Masoori Rice, Steamed, 5kg",295,16%,₹350,4,403,https://www.amazon.in/Amazon-Brand-Vedaka-Masoori-Steamed/dp/B07KXH75VX/ref=sr_1_60?dchild=1&qid=1591099869&s=pantry&sr=1-60
"24 Mantra Organic Sonamasuri Brown Rice, 1kg",86,9%,₹95,4,426,https://www.amazon.in/24-Mantra-Organic-Sonamasuri-Brown/dp/B01CHVDTLG/ref=sr_1_61?dchild=1&qid=1591099869&s=pantry&sr=1-61
"Amazon Brand - Vedaka Sabudana (Sago), Medium, 500g",56,14%,₹65,4.4,473,https://www.amazon.in/Amazon-Brand-Vedaka-Sabudana-Medium/dp/B07M92GV1V/ref=sr_1_62?dchild=1&qid=1591099869&s=pantry&sr=1-62
ASOP Chana Dal Economy 1Kg,77,14%,₹90,4.2,48,https://www.amazon.in/ASOP-Chana-Dal-Economy-1Kg/dp/B0851T2C6R/ref=sr_1_63?dchild=1&qid=1591099869&s=pantry&sr=1-63
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048,4%,"₹1,089",3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg3_1?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_64_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-64-spons%26psc%3D1&qualifier=1591153670&id=156860292891304&widgetName=sp_mtf_browse
